,Plant_ID,Boiler_ID,Fuel,Coal_Consumption,Plant_Boiler,Coal,Share_Selenium,Share_Arsenic,Share_Lead,Share_Mercury,Share_Chloride,Share_Boron,Share_Bromide,Share_Heat
5258,10865,CFB6,SUB,38937,10865_CFB6,38937,67.61017507979565,104.29458161571608,255.20965808411475,3.2823314901787413,8423.674024862476,4253.29013610523,866.8002373466048,824920005.844831
5261,10865,CFB7,BIT,117191,10865_CFB7,117191,203.4903569298182,313.90159267861884,768.1196558680817,9.879027908301536,25353.231698581254,12801.379776056398,2608.86012314472,2482810704.5987515
5263,10865,CFB7,SUB,41553,10865_CFB7,41553,72.15259534865935,111.30166037131391,272.35603468087476,3.5028564196367786,8989.622383725258,4539.0493624465325,925.0366043214287,880342630.4766741
5266,10865,CFB8,BIT,251147,10865_CFB8,251147,436.09144620195286,672.7090245535671,1646.1242519673106,21.17132051169634,54333.4222031008,27434.08731572592,5590.9361072729735,5320805010.861437
5268,10865,CFB8,SUB,86764,10865_CFB8,86764,150.65693891731232,232.40144539399515,568.6881571258734,7.314076827024895,18770.620568949013,9477.68100698652,1931.5061713316595,1838183716.956132
5271,10865,CFB9,BIT,335149,10865_CFB9,335149,581.9524505693411,897.7123233409258,2196.709086401957,28.252564825279684,72506.50861028415,36610.060760344444,7460.955716836871,7100472944.471562
5273,10865,CFB9,SUB,110260,10865_CFB9,110260,191.45537417618894,295.3365839419795,722.690934082094,9.294754863166347,23853.77142515696,12044.27075550152,2454.564916912876,2335970409.7503934
5276,10867,COGEN1,BIT,135937,10867_COGEN1,135937,238.00761417585002,413.73862464247503,1395.9824831454,9.82243858502925,34776.24207129,15723.3009364875,579.6040345214998,3165021171.0
5278,10867,COGEN2,BIT,168396,10867_COGEN2,168396,294.8390077518,512.5310212472999,1729.3148019432,12.167837806959,43080.103723320004,19477.706470650002,718.0017287219997,3920764068.0
5368,50088,,BIT,11784,50088_nan,11784,29.291334429600003,132.559323696,71.1437338062,1.4111153812800001,4676.9922675,303.60361233599997,138.97348452,297546000.0
5423,50146,A,BIT,0,50146_A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5425,50146,B,BIT,0,50146_B,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5427,50146,C,BIT,0,50146_C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5429,50146,D,BIT,26273,50146_D,26273,65.30645192370001,295.547446662,158.618407865775,3.14615023866,10427.581283437501,676.898990742,309.848129565,663393250.0
5449,50184,COMB,BIT,0,50184_COMB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5454,50184,PKG,BIT,0,50184_PKG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5459,50184,REC,BIT,0,50184_REC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5485,50187,11B,SUB,99269,50187_11B,99269,102.66309645209999,195.42010465004998,414.254599719,6.578543154233251,9906.08825415,5277.243379029001,272.86770372795,1700577239.0
5535,50202,1,BIT,0,50202_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
