,Plant_ID,Boiler_ID,Fuel,Coal_Consumption,Plant_Boiler,Coal,Share_Selenium,Share_Arsenic,Share_Lead,Share_Mercury,Share_Chloride,Share_Boron,Share_Bromide,Share_Heat
887,995,7,BIT,343866,995_7,343866,963.9531073921208,2928.3979612602106,3405.8941891137533,38.30948241935346,168803.1943525292,26058.133814116518,613.2218256560878,8122681792.332217
889,995,8,BIT,380543,995_8,380543,1066.7690534868811,3240.7430376130364,3769.1693636704854,42.3955999380806,186807.86698450713,28837.51349661014,678.6285157609203,8989052995.351326
891,997,12,BIT,143148,997_12,143148,204.58173325828312,1025.8723411987132,846.7928111254901,19.921562296290972,22323.458949719632,6735.3470962164965,9292.498339498155,2534825806.445984
893,997,12,SUB,786760,997_12,786760,1124.4077769740886,5638.327627081759,4654.083271027821,109.49149378426443,122692.62974880138,37018.34242475823,51072.77777952586,13931731854.30074
894,1001,1,BIT,1470841,1001_1,1470841,4107.885972434496,16337.140403587597,20388.484358698803,117.13704650780569,722033.1733427219,173328.80354679152,4456.645141233899,34169107271.0
896,1001,2,BIT,855561,1001_2,855561,2389.481276672346,9503.012345205094,11859.6041763948,68.1364529866007,419993.3397411906,100822.15854147151,2592.3480333219,19875537591.0
902,1004,HRSG1,BIT,186175,1004_HRSG1,186175,519.9648846598594,2067.9102055476565,2580.7181574899996,14.826884505932814,91392.96908848832,21939.482242012502,564.1098590325,4325031425.0
905,1004,HRSG2,BIT,186175,1004_HRSG2,186175,519.9648846598594,2067.9102055476565,2580.7181574899996,14.826884505932814,91392.96908848832,21939.482242012502,564.1098590325,4325031425.0
908,1004,,BIT,1124992,1004_nan,1124992,3141.9703801437604,12495.675777948001,15594.399255705599,89.59380396991202,552256.5278947047,132572.805190848,3408.7233975168,26134689152.0
915,1008,2,BIT,140320,1008_2,140320,734.9642600467959,2908.3458776908574,1422.9532507130573,23.10518539311383,87442.56180749496,4898.680145377031,2081.9467544953277,3425131703.339754
917,1008,4,BIT,123122,1008_4,123122,644.8850457916305,2551.8911142606453,1248.5522386993516,20.273351168550178,76725.36413100339,4298.284612735967,1826.7777102834505,3005338266.666172
919,1010,2,BIT,27308,1010_2,27308,76.26803314242751,303.319413955125,378.5376739344,2.1747955530442495,13405.447562070305,3218.065696602,82.74318265320001,634392148.0
921,1010,3,BIT,94698,1010_3,94698,264.48037946834626,1051.8434840604375,1312.6834863864,7.541701672849874,46487.07606682781,11159.527806387001,286.9347411342,2199929238.0
923,1010,4,BIT,109534,1010_4,109534,305.91558306073875,1216.6320744163127,1518.3369553512,8.723233342139626,53770.04149933385,12907.851472521003,331.8877899786,2544584354.0
